sampleID,HD10,HD11,HD12,HD13,HD14,HD15,HD16,HD17,HD18,HD19,HD1,HD20,HD21,HD22,HD23,HD24,HD25,HD26,HD27,HD28,HD29,HD2,HD30,HD31,HD32,HD33,HD34,HD35,HD36,HD37,HD38,HD39,HD3,HD40,HD41,HD42,HD43,HD44,HD45,HD46,HD47,HD48,HD49,HD4,HD50,HD51,HD52,HD53,HD54,HD55,HD56,HD57,HD58,HD59,HD5,HD60,HD61,HD62,HD63,HD64,HD65,HD66,HD67,HD68,HD69,HD6,HD70,HD71,HD72,HD73,HD74,HD75,HD76,HD77,HD78,HD79,HD7,HD80,HD81,HD82,HD83,HD8,HD9,HV10,HV11,HV12,HV13,HV14,HV15,HV16,HV17,HV18,HV19,HV1,HV20,HV21,HV22,HV23,HV24,HV25,HV26,HV27,HV28,HV29,HV2,HV30,HV31,HV3,HV4,HV5,HV6,HV7,HV8,HV9,LD10,LD11,LD12,LD13,LD14,LD15,LD17,LD18,LD19,LD1,LD20,LD21,LD22,LD23,LD24,LD25,LD26,LD27,LD28,LD29,LD2,LD30,LD31,LD32,LD34,LD35,LD36,LD37,LD38,LD39,LD3,LD40,LD41,LD42,LD43,LD44,LD46,LD47,LD48,LD49,LD4,LD50,LD51,LD52,LD53,LD54,LD55,LD56,LD57,LD58,LD59,LD5,LD60,LD61,LD62,LD63,LD64,LD65,LD66,LD67,LD68,LD69,LD6,LD70,LD71,LD72,LD73,LD74,LD75,LD76,LD77,LD78,LD79,LD7,LD80,LD81,LD82,LD83,LD84,LD85,LD86,LD87,LD88,LD89,LD8,LD90,LD91,LD92,LD93,LD94,LD95,LD96,LD97,LD98,LD9,LV10,LV11,LV13,LV14,LV15,LV16,LV17,LV18,LV19,LV1,LV20,LV21,LV22,LV23,LV24,LV25,LV2,LV3,LV4,LV5,LV6,LV7,LV8
Acidobacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinobacteria,0.06939,0.22683,0.27806,0.17676,0.32151,0.08538,0.14794,5.93298,0.65041,0.08471,0.21865,0.35118,0.08206,0.08804,0.23975,0.18631,0.24682,1.00705,0.10724,0.14119,1.30486,0,0.53586,2.62474,1.09926,0.39939,2.68625,1.02278,0.31441,0.3037,0.27343,0.29863,0.08316,0.11577,0.07692,0.33372,0.08422,0.06935,0.05545,0.53191,0.9227,1.42269,0.16384,0.8253,0.30213,0.1068,0.09414,0.44508,0.34925,0.3551,0.20923,0.13615,0.98951,6.01128,0.37396,0.20294,1.6427,0.12294,0.37142,0.4561,0.44665,0.39289,0.24253,2.02392,0.23028,0.09179,1.86316,0.21659,0.27659,0.74894,0.63816,2.77421,0.05016,5.45469,0.1548,1.41931,0.51513,0.25804,0.23693,0.22124,13.73416,4.10323,1.64437,0.23288,0.36278,0.92555,0.03473,0.07335,0.17521,0.01387,0.28281,0.55009,0.03988,0.24383,1.08688,0.25669,0.02665,0.27764,0.89867,0.12406,2.98733,9.22601,4.42931,0.73076,0.08451,0.03421,0.5468,0.06124,0.96819,0.07551,0.41685,0.80778,0.62881,0.01976,0.23932,0.11738,0.08105,0.02002,0.06903,0.22572,0.12686,0.17498,0.12322,0.05137,0.14851,0.03029,0.04227,0.78669,0.79118,1.19578,0.41306,0.20322,0.28078,0.63634,1.44847,0.3323,0.88406,0.05738,3.96167,3.15332,0.20059,0.24091,1.10926,0.98374,0.10803,2.24594,0.25994,1.07027,0.20066,0.58837,0.4349,0.15127,0.15815,1.85748,0.2109,0.40756,0.21815,3.34647,0.12616,0.04863,0.84297,0.36576,0.41014,0.14706,0.15034,2.31185,0.05711,2.48197,0.70981,0.49398,3.71932,0.41323,1.37804,0.13133,1.9112,0.05138,0.23527,0.31938,0.39764,0.01908,0.34807,0.32569,0.22175,8.66803,2.55975,0.08418,0.43736,0.30844,0.25376,6.15424,5.28051,0.27954,0.07286,1.36276,0.23795,0.39608,2.48223,0.00989,11.72155,1.70032,1.35946,0.08457,0.28793,0.07597,0.04496,0.16951,0.10951,0.06838,0.05426,0.0325,0.09966,0.22784,1.57961,0.03037,2.14194,0.03989,0.0907,0.40645,0.29591,1.81645,1.97018,0.28012,0.39506,0.15755,1.55896,5.62893,0.80514,0.08956,0.46202,0.23399,0.30147,0.26143
Bacteroidetes,68.27343,41.64453,59.53682,65.248,81.43032,62.7602,40.89402,56.26499,32.41607,50.74284,73.10285,13.00306,50.99148,31.38253,69.60861,72.56624,70.49974,30.55312,61.39528,54.28792,53.94235,56.00257,72.53424,61.06182,47.96587,57.06923,65.84676,33.74114,52.86276,42.11444,57.10129,60.37767,79.66629,48.96835,66.07446,83.78919,71.91028,83.82084,73.78616,72.64776,70.73306,88.45474,60.91809,59.25099,47.65224,57.88933,64.5121,53.4502,69.47699,62.22096,55.50089,60.43053,60.63692,59.65926,44.30888,53.46241,73.00368,79.27206,55.52691,92.9685,49.31565,59.32559,48.27151,56.71194,70.28642,52.26551,88.92918,71.44397,61.21903,73.17478,50.41131,62.69281,86.95629,42.53015,77.08868,52.09016,66.27894,70.49349,48.56734,56.80537,42.33901,46.09507,77.87726,50.41242,40.73523,69.9463,63.92236,39.23537,83.06811,79.80513,91.86828,76.83673,45.45587,16.2418,49.48673,58.8729,61.704,49.4028,46.31255,75.91619,45.62038,34.42477,51.76399,23.9504,53.08977,80.70651,56.52112,78.3874,49.88707,81.01728,39.43495,57.88587,45.07133,80.23472,65.23997,53.50148,55.68968,87.16012,62.89315,50.54413,65.89588,4.22732,69.3421,36.6459,52.62286,55.39505,65.65952,17.30467,40.56587,61.43536,51.34051,49.8191,15.43952,65.35995,32.87964,59.47099,52.37783,48.35207,54.57554,43.15062,53.12954,34.82344,42.22101,53.25911,63.90899,47.01467,81.16158,65.3851,53.02039,33.59535,87.13032,36.73512,61.76441,65.79901,52.89615,32.63446,46.30006,44.98676,19.50993,23.33116,37.62841,74.37374,16.65124,64.27356,73.51555,20.48951,56.25121,44.37201,72.0264,78.54648,12.44961,39.75018,23.63831,80.47848,24.42851,74.26339,30.3878,49.13123,63.77965,31.62167,49.93328,35.57083,38.80747,39.652,26.45102,41.26323,25.52556,70.98117,49.28084,61.25468,13.51607,67.59152,59.92194,46.34506,35.68897,69.0097,13.69544,59.14159,40.8796,37.64222,28.5984,49.49667,44.29725,50.976,79.50079,38.20729,59.39478,50.19078,65.43575,4.38096,55.71668,50.75586,62.66757,26.35314,10.24801,83.21312,11.59006,0.88699,73.55285,51.31355,45.89486,1.82928,75.04315,55.62675,70.64057,30.46814,43.53386,81.2741,76.08831,65.41576,73.53751,53.68634
Firmicutes,24.42702,47.45908,36.77055,33.31465,15.57918,28.27095,57.70956,34.48676,42.10696,43.92795,24.46164,74.74173,34.39407,67.40816,26.95278,20.94165,8.68736,67.82845,31.45846,43.62927,40.35058,38.6721,24.1706,34.79776,48.95395,40.31424,29.05481,54.15134,26.13207,46.43863,42.14415,37.4184,16.24009,47.91409,31.03467,12.1591,23.57103,15.04333,12.44966,25.41822,27.28763,8.02532,30.7105,35.88706,40.06367,38.71665,32.15388,42.34384,26.0405,35.51746,40.61995,36.74605,38.19936,31.13938,50.57175,44.50944,24.02919,17.48928,43.1183,4.39534,47.19742,36.37574,49.85643,39.34475,23.72481,46.99672,8.31129,26.33612,36.25967,23.62891,46.66814,28.64198,2.64173,50.26822,18.8688,39.6356,28.16612,26.00094,45.13687,27.58143,40.04284,48.26556,15.869,41.39813,48.8471,27.07013,35.21679,58.20978,16.28763,19.38252,6.27555,20.51942,43.24657,81.57858,44.44496,34.08961,36.27898,45.93732,43.24931,20.1921,40.28335,36.91184,41.90851,73.29784,40.89308,15.73324,42.04644,17.87653,47.84976,16.24327,54.20245,34.2766,48.78974,19.13461,22.70819,45.6714,42.95752,10.36039,33.11175,43.70634,25.4003,1.71618,23.18729,62.1792,30.55554,36.28134,21.47318,55.41825,57.50067,33.03406,35.74239,46.26083,8.91646,30.6602,46.7728,34.32086,34.05701,36.37839,38.39676,20.49472,44.48659,44.55666,50.31075,45.61692,33.31456,34.98878,16.03208,30.38884,40.59172,57.21487,10.60693,55.92514,29.9979,30.60016,44.04086,28.70885,33.59705,22.0441,66.25688,74.33802,60.46872,21.08253,76.50145,34.24145,24.58554,76.3908,38.00346,46.98227,25.39444,20.6874,82.40339,45.5945,50.33915,16.64565,67.02892,15.15565,44.45429,38.80394,15.33527,16.19289,44.97031,39.7059,52.0297,34.77072,52.13691,55.7918,67.66876,26.39203,46.83968,22.81488,67.77496,28.55668,31.79565,47.70315,56.18479,19.9137,34.82577,26.69625,39.32941,48.17909,67.22553,31.72989,47.82068,39.21202,18.9664,30.63979,39.40841,27.54195,24.67893,92.57654,40.12555,39.10653,33.2817,25.58712,85.76708,11.57387,51.77503,62.30206,14.23689,32.91243,49.21711,37.76773,15.75883,38.7099,23.27987,54.73242,48.06447,11.71843,14.62777,22.57098,21.96044,33.55587
Fusobacteria,1.44325,0,0.72808,0,0.04214,0,0.00265,0.00999,0.00411,3.69786,0.12674,0.22601,14.24734,0.02417,0,2.25979,0,0,0.66279,0,1.12582,0,0,0.47535,0,0,0,0,0,0.13437,0.18146,0.57992,2.14486,0,0,0,0,0.09428,0.51492,0,0.00099,0,3.72425,0,0.9205,0,0.0078,0.00033,0.01791,0,0.03748,0,0,0.00151,0,0,0.0154,0,0,0.02447,0.04339,0.00629,0,0.04392,1.95422,0,0.00314,0.02095,0.00597,0.02999,0.01379,2.26377,0.05791,0.00922,0.00709,0.77161,0.20534,0.62121,0.08902,0.89989,0.05934,0,0,0,5.21404,0.05433,0.25493,0,0,0.008,0.00974,0,0.4094,0.5214,0.52326,0.02327,0.09116,1.4987,1.845,0.20498,0.01878,12.2668,0,0.47546,1.90432,0.00978,0,1.02874,0,0.20204,0,0,0,0,0.52776,0,0,0.00188,0,0.00371,0.00425,0.7994,0.01946,0.05648,1.39245,0.31284,0,0.51759,0.15262,0,1.32923,0.31636,5.20788,0.08577,0.50174,0.00064,0,0.376,0,0.0013,0.00238,11.00156,0.3418,0.00272,1.35728,0.10921,0.00043,0,0.15059,0.58054,0,0.01207,0.00353,0.22505,0.01996,0.00162,0.89144,0.00842,2.27827,0.35742,0.01182,0.82556,0.42869,0.01216,0.00402,0.05643,0.48515,2.57611,0.02504,0.1507,0.12314,0.01309,1.7947,0,0.44552,3.85007,0.00782,0.84864,1.28026,0.34292,0.09389,0.73641,4.15037,0.78036,2.38203,0.18601,1.03855,0.00376,0.04922,0.05754,0.26311,0.00592,0.70416,0.01077,0.05491,3.18445,0.46075,3.48583,0.00756,0.38052,0.02392,5.15664,0.02692,3.95201,0.05644,1.14689,0.01831,14.78129,0.23887,0.01504,0.00939,3.24515,0,0.14731,0.23008,0.36018,22.34547,1.03526,4.17479,3.40495,0.15908,0,0,0.07774,0.16151,0.06155,0.08899,0,0.30702,7.38384,0.30329,2.27562
Proteobacteria,5.78351,2.14402,2.68167,1.24195,2.62084,8.88347,1.24582,3.30528,18.46716,1.5443,2.09012,11.67803,0.28504,1.09386,2.38815,4.046,20.56609,0.57281,3.68578,1.79951,3.25269,2.68645,2.74654,1.01815,1.47463,1.68804,2.14537,10.33396,2.5814,5.20956,0.29505,1.32537,1.8656,2.36957,2.81396,3.71729,4.41813,0.96907,13.19382,1.12596,1.05561,2.09669,4.48333,4.03665,11.04691,3.26851,3.23208,3.74684,4.11534,0.62802,3.58454,2.68727,0.17421,3.1699,3.66444,1.66861,1.30903,2.72608,0.94527,2.15325,2.94327,2.74918,1.50094,1.87548,3.80426,0.60734,0.89323,1.98237,2.23109,2.41738,2.26712,3.62723,10.29391,1.73478,3.88063,6.00172,4.82054,2.62131,3.56513,14.49207,3.81839,1.30233,2.20632,7.68932,4.83181,2.00368,0.57119,2.48151,0.44017,0.79048,1.55923,2.07805,10.84828,1.41437,3.51882,6.75753,1.8992,2.71553,7.68457,3.49398,10.45762,7.17057,1.85376,1.54338,4.02682,3.51625,0.88565,2.64609,1.29499,2.46189,5.93215,1.23399,3.02828,0.61091,11.28365,0.66317,1.27175,2.09917,3.92171,5.3942,8.50172,93.08212,7.32792,1.06705,15.27669,7.97657,3.88179,25.96803,0.98714,3.95253,11.14861,3.3913,70.05851,2.99591,18.38881,0.93606,12.65885,14.83616,3.02151,2.27014,2.1809,9.37743,6.01718,0.13752,1.31012,15.58128,2.21581,2.31046,3.77307,8.02088,1.80781,3.30516,8.07601,1.49927,2.83213,38.24456,18.98928,27.07307,11.82877,1.76298,0.54899,3.35241,6.00847,1.32577,1.65031,0.7514,5.20047,3.58764,1.84431,0.12144,1.30005,13.90813,22.84235,2.74087,6.14941,6.67766,24.15799,10.8968,19.20719,51.82277,4.45117,23.65735,4.79071,16.1222,16.46851,2.67314,5.30957,2.3146,3.57651,9.41036,13.14631,0.54437,3.41054,4.57218,7.63874,7.49607,48.52632,10.66644,8.06188,12.01096,2.7861,13.52212,7.51699,5.7803,1.42802,29.82668,1.03149,7.4176,9.59219,2.98952,2.65024,6.66463,2.47112,47.88205,1.60014,4.81295,13.78022,35.36923,7.73956,10.54674,2.66866,0.1853,5.86452,5.40379,3.76621,9.09242,5.88186,6.91288,8.51489,4.39545,3.88969,10.21197
Spirochaetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tenericutes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Verrucomicrobia,0.0034,8.52552,0.00481,0.01864,0,0,0,0,4.85507,0,0,0,0,0.00324,0.81071,0,0,0,2.67291,0.14212,0,2.63888,0,0,0.00704,0.23288,0,0,17.95056,5.63491,0.00212,0,0,0.62771,0,0.0007,0.01633,0,0,0.27033,0,0,0,0,0.01398,0,0,0.01144,0,1.26358,0.0016,0,0,0.01323,0.97899,0.1566,0,0.35888,0.03152,0.00234,0.05363,0.74786,0.11826,0,0,0.00057,0,0,0,0,0.00149,0,0,0,0,0.06143,0.01392,0.005,2.40472,0,0.00626,0.23047,2.40305,0.26726,0,0,0,0,0.02889,0,0,0,0,0,0.93935,0,0,0,0,0.06869,0.35971,0,0.02638,0.00216,0.00149,0,0,0,0,0,0.00908,5.79576,1.14687,0,0.00111,0.00166,0,0.35843,0,0.08684,0,0,0,0,0.00394,0,8.86797,0.00127,0.00087,0.00613,0.02562,0.0092,0.09684,0.26183,0.0049,4.90589,0.00972,0,0,30.92501,0,0,0,0,0,0.06013,0.32874,0.84533,2.26038,0,0.02004,3.87124,0,0.01811,0,0.00294,0.00223,1.99392,0,0.1618,0.38746,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02833,0.00185,0.71302,0,0,0.00067,0.1344,0,0,0,0.00034,0.00164,0.00449,0,0,0.00509,0.01358,3.01837,4.09169,0.0045,0.0049,0,0.00385,0,0,0.08688,0,0,0,0.00189,0,0,0.03427,0,0,0,0.04198,0,0,0,0,0,0.00183,0,0,0.00587,0.08946,59.92406,2.93844,0.0076,0.59289,0.01653,0.07389,0.00503,0,0,0.0006,0.00877
Candidatus_Saccharibacteria,0,0,0,0,0,0,0,0,0,0.00235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00314,0,0,0,0,0,0,0.00058,0,0,0.00226,0,0.0126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00123,0,0,0,0,0,0,0.0035,0,0,0.00057,0,0,0,0.00365,0.00822,0,0,0,0.0049,0,0,0,0,0.00102,0,0.00142,0,0.00318,0,0,0,0,0,0,0,0.00181,0.00618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00367,0.00811,0,0,0,0,0,0,0,0,0.00542,0.00143,0,0.00668,0,0,0.00427,0,0,0.00103,0,0,0,0.00289,0,0,0,0,0.00571,0.05022,0,0.00339,0.00984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01349,0,0,0,0,0,0,0,0,0,0
Deinococcus_Thermus,0,0,0,0,0.00602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00473,0.00315,0,0,0,0,0,0,0,0.00451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00228,0,0,0,0.00543,0,0,0,0.00589,0.00657,0,0,0.01045,0.00586,0,0,0,0,0,0.00765,0,0,0,0,0,0,0,0,0,0,0,0,0.00334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00235,0,0,0,0,0,0,0,0,0,0.01253,0,0.00539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00382,0,0,0,0,0,0,0,0.00499,0.00545,0.00361,0.00213,0.00159,0.00276,0,0,0,0,0,0.00659,0,0,0,0,0,0.00323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Synergistetes,0,0,0,0,0,0,0,0,1.10504,0,0,0,0,0,0,0,0,0.03856,0,0,0,0,0.00649,0,0,0,0.26682,0,0.15881,0.1644,0.0025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0187,0,0,0,0,0,0,0,0,0,0,0,0.02487,0,0,0,0,0,0,0,0.03808,0,0,0,0,0,0,0,0,0,0.0082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00438,0,0,0,0,0,0,0.16801,0,0,0,0,0,0,0,0,0,0,0,0,0.00451,0,0,0,0,0.04491,0,0,0.00436,0,0,0,0,0,0,0,0.07076,0,0.00165,0.04732,0,0,0,0,0,0.02504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00038,0,0,0,0,0,0,0.09425,0,0,0,0,0,0,0,0,0,0,0,0.04381,0,0,0,0,0,0,0.00128,0,0,0.00889,0,0,0.29395,0,0,0,0,0.00284,0,0,0,0,0,0,0.00439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05231,0,0,0,0.00064,0,0,0.01616,0,0,1.55179,0,0,0,0.007,0